title,filename,relative_path,orientation,dimensions,category,game_types,environment,mood,style,dominant_color,dominant_hex,palette_colors,palette_hex,ui_status,description,keywords,original_filename
Frostwhistle Summit,frostwhistle-summit.png,Landscape 1920x1080/Nature & Scenic/frostwhistle-summit.png,Landscape,1920x1080,Nature & Scenic,adventure; role-playing game; exploration; puzzle,snowy mountain; pine forest; daylight; winter wilderness,serene; uplifting; crisp,stylized illustration; painterly; casual game art,cyan,#6CA6DB,cyan; turquoise; white,#6CA6DB; #4D7BBB; #88D2EE; #CAD9EB; #E1EFF5,No baked-in UI detected,A bright snow-covered mountain rises above a pine forest beneath a clear blue sky. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Nature & Scenic; adventure; role-playing game; exploration; puzzle; snowy mountain; pine forest; daylight; winter wilderness; serene; uplifting; crisp; stylized illustration; painterly; casual game art; cyan; turquoise; white,"asset_eoysveK21eWQv7Ab28Lpib52_A snowy mountain peak above a pine forest, blue sky_txt2img_1786402782.png"
Moonriver Pines,moonriver-pines.png,Landscape 1920x1080/Nature & Scenic/moonriver-pines.png,Landscape,1920x1080,Nature & Scenic,adventure; role-playing game; survival; exploration,moonlit mountain valley; winding river; pine forest; night,mysterious; calm; atmospheric,stylized landscape; painterly; fantasy environment,turquoise,#063568,turquoise; blue,#063568; #061436; #085899; #0C7EC6; #22B0E5,No baked-in UI detected,A moonlit river winds through dark pines toward distant blue mountains. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Nature & Scenic; adventure; role-playing game; survival; exploration; moonlit mountain valley; winding river; pine forest; night; mysterious; calm; atmospheric; stylized landscape; painterly; fantasy environment; turquoise; blue,asset_GmkBBfnsDgTHPZtwGzwyQQda_A foggy mountain valley  at night with pine trees and a winding river_txt2img_1786397307.png
Cloudcrown Peak,cloudcrown-peak.png,Landscape 1920x1080/Nature & Scenic/cloudcrown-peak.png,Landscape,1920x1080,Nature & Scenic,adventure; role-playing game; exploration; puzzle,snowy mountain; pine forest; clouds; daylight,heroic; serene; bright,stylized illustration; painterly; casual game art,turquoise,#49A6D7,turquoise; cyan; white,#49A6D7; #CDDFEB; #296599; #7CD0EE; #EBF5F4,No baked-in UI detected,A dramatic snowy peak sits above evergreen woods and billowing white clouds. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Nature & Scenic; adventure; role-playing game; exploration; puzzle; snowy mountain; pine forest; clouds; daylight; heroic; serene; bright; stylized illustration; painterly; casual game art; turquoise; cyan; white,"asset_oTd4tcYKXyJP46B2rWqhVBG8_A snowy mountain peak above a pine forest, blue sky_txt2img_1786402769.png"
Midnight Meeple Club,midnight-meeple-club.png,Landscape 1920x1080/Simulation & Lifestyle/midnight-meeple-club.png,Landscape,1920x1080,Simulation & Lifestyle,social simulation; board game; visual novel; narrative adventure,cozy game room; tabletop game; anthropomorphic friends; interior,cozy; mischievous; social,anime-inspired; cartoon illustration; character scene,green,#17241A,green; orange; olive; silver,#17241A; #5B473A; #626751; #502D24; #A2A09F,No baked-in UI detected,A stylish group of anthropomorphic friends gathers around a tabletop game in a cozy room. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; social simulation; board game; visual novel; narrative adventure; cozy game room; tabletop game; anthropomorphic friends; interior; cozy; mischievous; social; anime-inspired; cartoon illustration; character scene; green; orange; olive; silver,silverlakeslayer_casual_game_--no_ui_--ar_169_--raw_--profile_d28c2194-5d66-4ab0-8fd6-4be3d2538c9c_0.png
Toolbelt Tuesday,toolbelt-tuesday.png,Portrait 1080x1920/Characters & Lifestyle/toolbelt-tuesday.png,Portrait,1080x1920,Characters & Lifestyle,repair simulation; time management; character customization; casual,workshop interior; utility room; handyman; tiled floor,cheerful; industrious; friendly,stylized three-dimensional; cartoon character; casual game art,turquoise,#5E85A3,turquoise; sky blue; violet,#5E85A3; #264B61; #C0C9DC; #6E5A74; #73A2C4,No baked-in UI detected,A friendly handyman stands ready inside a colorful workshop-like interior. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Characters & Lifestyle; repair simulation; time management; character customization; casual; workshop interior; utility room; handyman; tiled floor; cheerful; industrious; friendly; stylized three-dimensional; cartoon character; casual game art; turquoise; sky blue; violet,silverlakeslayer_casual_game_--no_ui_--ar_916_--raw_--profile_e4b4b1e5-8d3e-461e-8603-508cfc6db572_1.png
Mango Monkey Hop,mango-monkey-hop.png,Portrait 1080x1920/Adventure & Platformer/mango-monkey-hop.png,Portrait,1080x1920,Adventure & Platformer,endless jumper; platformer; casual arcade; kids game,tropical jungle; floating blocks; coins; monkey,playful; energetic; sunny,stylized three-dimensional; cartoon; mobile game art,brown,#79591E,brown; teal; green,#79591E; #74CBE4; #6CA570; #9BDDDF; #C1E5D3,HUD and UI cropped from frame,A cheerful monkey leaps through a tropical vertical platform course with coins and blocks. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; endless jumper; platformer; casual arcade; kids game; tropical jungle; floating blocks; coins; monkey; playful; energetic; sunny; stylized three-dimensional; cartoon; mobile game art; brown; teal; green,silverlakeslayer_casual_game_--no_ui_--ar_916_--raw_--profile_e4b4b1e5-8d3e-461e-8603-508cfc6db572_2.png
Strawberry Skyfall,strawberry-skyfall.png,Portrait 1080x1920/Adventure & Platformer/strawberry-skyfall.png,Portrait,1080x1920,Adventure & Platformer,fruit catcher; casual arcade; match and merge; kids game,desert canyon; giant strawberry; floating fruit; open sky,whimsical; juicy; bright,stylized three-dimensional; cartoon; mobile game art,green,#7FCBAC,green; orange; yellow; gold,#7FCBAC; #B05E26; #E6EAA4; #AFA068; #EED180,No baked-in UI detected,A giant strawberry and colorful fruit tumble through a sunny desert canyon. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; fruit catcher; casual arcade; match and merge; kids game; desert canyon; giant strawberry; floating fruit; open sky; whimsical; juicy; bright; stylized three-dimensional; cartoon; mobile game art; green; orange; yellow; gold,silverlakeslayer_casual_game_--no_ui_--ar_916_--raw_--profile_e4b4b1e5-8d3e-461e-8603-508cfc6db572_3.png
Ember Isle,ember-isle.png,Landscape 1920x1080/Adventure & Platformer/ember-isle.png,Landscape,1920x1080,Adventure & Platformer,adventure; exploration; strategy; narrative game,island city; ocean; sunset; fortress,cinematic; mysterious; warm,stylized three-dimensional; painterly; environment concept art,red,#822D2F,red; magenta; crimson,#822D2F; #88637A; #3D3435; #B55562; #AA5A6E,No baked-in UI detected,A red island settlement glows against the ocean at sunset. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; adventure; exploration; strategy; narrative game; island city; ocean; sunset; fortress; cinematic; mysterious; warm; stylized three-dimensional; painterly; environment concept art; red; magenta; crimson,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_4c2cfaba-3dd0-4a37-9601-dfc8fa043067_0.png
Coral Concrete Run,coral-concrete-run.png,Landscape 1920x1080/Adventure & Platformer/coral-concrete-run.png,Landscape,1920x1080,Adventure & Platformer,action platformer; parkour; adventure; precision platformer,brutalist ruins; red concrete; open sky; parkour course,energetic; daring; sunlit,stylized three-dimensional; painterly; action game art,turquoise,#5D8EAF,turquoise; red; cyan; blue,#5D8EAF; #C34B41; #4E2E30; #8AC3D9; #6D738C,No baked-in UI detected; letterbox bars removed,Tiny runners traverse towering coral-red concrete ruins under a wide blue sky. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; action platformer; parkour; adventure; precision platformer; brutalist ruins; red concrete; open sky; parkour course; energetic; daring; sunlit; stylized three-dimensional; painterly; action game art; turquoise; red; cyan; blue,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_4c2cfaba-3dd0-4a37-9601-dfc8fa043067_3.png
Crimson Cat Caper,crimson-cat-caper.png,Landscape 1920x1080/Adventure & Platformer/crimson-cat-caper.png,Landscape,1920x1080,Adventure & Platformer,platformer; cooperative game; puzzle platformer; action adventure,red stone ruins; crates; cats; side-scrolling level,playful; adventurous; colorful,hand-painted two-dimensional; cartoon; side-scroller,orange,#5E331C,orange; teal; green,#5E331C; #39A5BA; #52A9A7; #5D6757; #65C6B7,HUD and UI cropped from frame,Colorful cat heroes leap among crates and red stone ruins in a side-scrolling level. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; cooperative game; puzzle platformer; action adventure; red stone ruins; crates; cats; side-scrolling level; playful; adventurous; colorful; hand-painted two-dimensional; cartoon; side-scroller; orange; teal; green,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_c6f1aa56-4159-4653-8878-c173027dd854_0.png
